Date,Source,Description,Category,Subcategory,Amount,Original Category
11/04/2025,Mike AppleCard,SPROUTS,Food & Dining,Groceries,111.51,Apple Card / Grocery
04/05/2025,Mike AppleCard,SPROUTS,Food & Dining,Groceries,232.57,Apple Card / Grocery
09/03/2026,Mike AppleCard,WHOLE FOODS MARKET,Food & Dining,Groceries,47.75,Apple Card / Grocery
04/08/2025,Mike AppleCard,COSTCO WHSE,Food & Dining,Groceries,91.7,Apple Card / Grocery
11/23/2026,Mike AppleCard,TRADER JOE'S,Food & Dining,Groceries,156.79,Apple Card / Grocery
05/26/2025,Mike AppleCard,TRADER JOE'S,Food & Dining,Groceries,221.52,Apple Card / Grocery
06/09/2025,Mike AppleCard,TRADER JOE'S,Food & Dining,Groceries,288.88,Apple Card / Grocery
06/04/2025,Mike AppleCard,SAFEWAY,Food & Dining,Groceries,65.15,Apple Card / Grocery
06/20/2026,Mike AppleCard,WHOLE FOODS MARKET,Food & Dining,Groceries,229.73,Apple Card / Grocery
09/04/2026,Mike AppleCard,WHOLE FOODS MARKET,Food & Dining,Groceries,183.53,Apple Card / Grocery
11/20/2026,Mike AppleCard,COSTCO WHSE,Food & Dining,Groceries,90.0,Apple Card / Grocery
02/02/2025,Mike AppleCard,RALPHS,Food & Dining,Groceries,296.16,Apple Card / Grocery
04/28/2025,Mike AppleCard,SAFEWAY,Food & Dining,Groceries,112.27,Apple Card / Grocery
11/27/2026,Mike AppleCard,TRADER JOE'S,Food & Dining,Groceries,136.25,Apple Card / Grocery
04/22/2026,Mike AppleCard,SPROUTS,Food & Dining,Groceries,283.53,Apple Card / Grocery
11/03/2025,Mike AppleCard,COSTCO WHSE,Food & Dining,Groceries,229.57,Apple Card / Grocery
03/15/2026,Mike AppleCard,RALPHS,Food & Dining,Groceries,297.28,Apple Card / Grocery
11/23/2025,Mike AppleCard,SPROUTS,Food & Dining,Groceries,124.31,Apple Card / Grocery
01/08/2025,Mike AppleCard,RALPHS,Food & Dining,Groceries,144.3,Apple Card / Grocery
02/07/2026,Mike AppleCard,TRADER JOE'S,Food & Dining,Groceries,210.41,Apple Card / Grocery
