Date,Source,Description,Category,Subcategory,Amount,Original Category
02/03/2025,Mike AppleCard,VAIL RESORTS LIFT TICKET,Sports & Hobbies,Sports / Hobbies,289.0,Apple Card / Other
02/04/2025,Mike AppleCard,MAMMOTH MTN SKI RENTAL,Sports & Hobbies,Sports / Hobbies,145.5,Apple Card / Other
02/05/2025,Mike AppleCard,CREEKSIDE SKI SCHOOL,Sports & Hobbies,Sports / Hobbies,450.0,Apple Card / Other
12/20/2025,Mike AppleCard,BLACK TIE SKI RENTAL,Sports & Hobbies,Sports / Hobbies,380.0,Apple Card / Other
06/14/2025,Mike AppleCard,US.STORE.BAMBULAB.COM,Sports & Hobbies,Sports / Hobbies,1200.0,Apple Card / Shopping
11/15/2025,Mike AppleCard,US.STORE.BAMBULAB.COM,Sports & Hobbies,Sports / Hobbies,1200.0,Apple Card / Shopping
01/15/2025,Mike AppleCard,WHOLE FOODS MARKET,Food & Dining,Groceries,185.43,Apple Card / Grocery
02/14/2025,Sarah AppleCard,KITCHEN BISTRO,Food & Dining,Restaurants,185.0,Apple Card / Restaurants
04/15/2025,Mike AppleCard,DELTA AIR LINES,Travel,Airlines,624.0,Apple Card / Airlines
04/16/2025,Mike AppleCard,HILTON HONOLULU,Travel,Hotels,892.0,Apple Card / Hotels
05/02/2025,Mike AppleCard,NIKE.COM,Shopping & Retail,Clothing,125.0,Apple Card / Shopping
07/30/2025,Sarah AppleCard,PEGASUS SCHOOL TUITION,Kids,Kids,2400.0,Apple Card / Other
01/05/2025,Mike ChaseCard,ANTHROPIC PBC,Subscriptions & Software,Software / Tools,20.0,Chase / Subscriptions
03/15/2025,Mike ChaseCard,NETFLIX.COM,Subscriptions & Software,Streaming / Media,24.99,Chase / Subscriptions
