Date,Source,Description,Category,Subcategory,Amount,Original Category
01/01/2026,Alex Checking,CITY WATER,Housing,Utilities,77.41,
01/01/2026,Sam AppleCard,CHEWY,Pets,Food,72.08,
01/01/2026,Sam Checking,MUSIC LESSONS,Kids,Activities,177.96,
01/01/2026,Sam Checking,UBER,Transport,Rideshare,19.82,
01/02/2026,Alex ChaseCard,SPOTIFY FAMILY,Subscriptions,Streaming,17.0,
01/02/2026,Sam ChaseCard,AFTER SCHOOL CARE,Kids,After School,408.43,
01/03/2026,Alex Checking,ICLOUD STORAGE,Subscriptions,Software,3.0,
01/03/2026,Sam AppleCard,WHOLE FOODS,Food,Groceries,107.69,
01/04/2026,Alex Checking,ELECTRIC COMPANY,Housing,Utilities,265.78,
01/04/2026,Alex Checking,NATURAL GAS,Housing,Utilities,101.28,
01/04/2026,Alex Checking,LOCAL NEWSPAPER,Subscriptions,News,15.0,
01/05/2026,Alex AppleCard,YMCA FAMILY,Health,Fitness,92.0,
01/05/2026,Sam AppleCard,TRADER JOE'S,Food,Groceries,88.07,
01/05/2026,Sam ChaseCard,AMAZON,Shopping,Home Goods,64.6,
01/06/2026,Alex AppleCard,ROCKET MORTGAGE,Housing,Mortgage,2200.0,
01/06/2026,Alex ChaseCard,INTERNET,Housing,Utilities,76.2,
01/06/2026,Alex ChaseCard,NETFLIX,Subscriptions,Streaming,18.0,
01/06/2026,Sam AppleCard,DENTIST,Health,Medical,108.6,
01/06/2026,Sam AppleCard,DISNEY+,Subscriptions,Streaming,14.0,
01/06/2026,Sam Checking,YOUTH SOCCER,Kids,Activities,137.85,
01/07/2026,Alex ChaseCard,CHIPOTLE,Food,Restaurants,23.26,
01/07/2026,Alex ChaseCard,VACATION ACTIVITIES,Travel,Activities,92.04,
01/09/2026,Alex Checking,STARBUCKS,Food,Restaurants,7.02,
01/10/2026,Sam AppleCard,WHOLE FOODS,Food,Groceries,146.77,
01/10/2026,Sam AppleCard,YOUTH SOCCER,Kids,Activities,151.36,
01/11/2026,Sam Checking,STARBUCKS,Food,Restaurants,7.51,
01/12/2026,Alex ChaseCard,TRADER JOE'S,Food,Groceries,60.52,
01/12/2026,Alex ChaseCard,STARBUCKS,Food,Restaurants,7.49,
01/12/2026,Sam ChaseCard,UBER,Transport,Rideshare,20.68,
01/14/2026,Sam AppleCard,CHIPOTLE,Food,Restaurants,18.35,
01/16/2026,Alex ChaseCard,STARBUCKS,Food,Restaurants,7.04,
01/16/2026,Sam ChaseCard,DOORDASH,Food,Delivery,43.91,
01/17/2026,Sam AppleCard,WHOLE FOODS,Food,Groceries,107.11,
01/18/2026,Sam Checking,SUSHI HOUSE,Food,Restaurants,88.04,
01/19/2026,Alex Checking,TRADER JOE'S,Food,Groceries,50.86,
01/19/2026,Alex Checking,GAS STATION,Transport,Gas,48.56,
01/19/2026,Sam AppleCard,UBER,Transport,Rideshare,16.56,
01/19/2026,Sam ChaseCard,STARBUCKS,Food,Restaurants,7.78,
01/19/2026,Sam Checking,UBER,Transport,Rideshare,28.2,
01/21/2026,Alex Checking,CHIPOTLE,Food,Restaurants,19.9,
01/21/2026,Sam AppleCard,SAFEWAY,Food,Groceries,80.49,
01/21/2026,Sam AppleCard,STARBUCKS,Food,Restaurants,6.63,
01/23/2026,Sam AppleCard,AMAZON,Shopping,Home Goods,73.91,
01/24/2026,Sam ChaseCard,WHOLE FOODS,Food,Groceries,159.2,
01/24/2026,Sam Checking,TARGET,Shopping,Home Goods,58.95,
01/25/2026,Alex AppleCard,DOORDASH,Food,Delivery,26.17,
01/25/2026,Sam AppleCard,GAP,Shopping,Clothing,154.87,
01/25/2026,Sam ChaseCard,AMAZON,Shopping,Home Goods,82.75,
01/26/2026,Alex AppleCard,TRADER JOE'S,Food,Groceries,59.22,
01/26/2026,Alex ChaseCard,OLD NAVY,Kids,Clothing,66.42,
01/27/2026,Alex AppleCard,GAS STATION,Transport,Gas,49.04,
01/27/2026,Sam ChaseCard,TARGET,Shopping,Home Goods,54.83,
01/28/2026,Alex Checking,CHIPOTLE,Food,Restaurants,22.9,
01/30/2026,Alex ChaseCard,STARBUCKS,Food,Restaurants,5.83,
01/30/2026,Sam AppleCard,DOORDASH,Food,Delivery,38.33,
01/31/2026,Alex ChaseCard,DOORDASH,Food,Delivery,20.35,
01/31/2026,Sam AppleCard,UBER,Transport,Rideshare,25.23,
01/31/2026,Sam ChaseCard,WHOLE FOODS,Food,Groceries,148.92,
02/01/2026,Sam ChaseCard,STARBUCKS,Food,Restaurants,4.23,
02/01/2026,Sam ChaseCard,STARBUCKS,Food,Restaurants,6.52,
02/02/2026,Alex ChaseCard,ROCKET MORTGAGE,Housing,Mortgage,2200.0,
02/02/2026,Alex Checking,TRADER JOE'S,Food,Groceries,56.75,
02/02/2026,Alex Checking,YMCA FAMILY,Health,Fitness,92.0,
02/03/2026,Alex ChaseCard,DOORDASH,Food,Delivery,28.36,
02/04/2026,Alex AppleCard,CHIPOTLE,Food,Restaurants,23.54,
02/05/2026,Alex AppleCard,LOCAL NEWSPAPER,Subscriptions,News,15.0,
02/05/2026,Alex Checking,CITY WATER,Housing,Utilities,75.77,
02/05/2026,Alex Checking,SPOTIFY FAMILY,Subscriptions,Streaming,17.0,
02/05/2026,Sam Checking,DISNEY+,Subscriptions,Streaming,14.0,
02/06/2026,Alex AppleCard,ELECTRIC COMPANY,Housing,Utilities,227.84,
02/06/2026,Alex Checking,NETFLIX,Subscriptions,Streaming,18.0,
02/06/2026,Alex Checking,ICLOUD STORAGE,Subscriptions,Software,3.0,
02/06/2026,Sam AppleCard,AFTER SCHOOL CARE,Kids,After School,434.25,
02/06/2026,Sam AppleCard,CHEWY,Pets,Food,73.7,
02/06/2026,Sam ChaseCard,MUSIC LESSONS,Kids,Activities,184.45,
02/07/2026,Alex AppleCard,NATURAL GAS,Housing,Utilities,85.85,
02/07/2026,Alex ChaseCard,WHOLE FOODS,Food,Groceries,173.56,
02/07/2026,Sam Checking,STARBUCKS,Food,Restaurants,6.87,
02/08/2026,Alex AppleCard,INTERNET,Housing,Utilities,74.24,
02/08/2026,Alex AppleCard,TARGET,Shopping,Home Goods,49.55,
02/09/2026,Alex ChaseCard,TRADER JOE'S,Food,Groceries,83.9,
02/11/2026,Alex AppleCard,DENTIST,Health,Medical,109.99,
02/11/2026,Alex Checking,CHIPOTLE,Food,Restaurants,27.99,
02/11/2026,Sam Checking,STARBUCKS,Food,Restaurants,6.6,
02/13/2026,Alex Checking,AMAZON,Shopping,Home Goods,74.48,
02/14/2026,Alex ChaseCard,WHOLE FOODS,Food,Groceries,101.73,
02/14/2026,Alex Checking,GAS STATION,Transport,Gas,67.34,
02/15/2026,Alex Checking,STARBUCKS,Food,Restaurants,6.88,
02/16/2026,Alex ChaseCard,TRADER JOE'S,Food,Groceries,85.47,
02/16/2026,Alex Checking,GAS STATION,Transport,Gas,59.66,
02/17/2026,Sam ChaseCard,STARBUCKS,Food,Restaurants,7.24,
02/18/2026,Sam ChaseCard,GAS STATION,Transport,Gas,37.85,
02/18/2026,Sam Checking,CHIPOTLE,Food,Restaurants,21.5,
02/19/2026,Alex ChaseCard,UBER,Transport,Rideshare,17.91,
02/20/2026,Alex ChaseCard,SWIM CLASS,Kids,Activities,164.22,
02/21/2026,Sam AppleCard,WHOLE FOODS,Food,Groceries,141.67,
02/22/2026,Sam AppleCard,STARBUCKS,Food,Restaurants,7.72,
02/23/2026,Alex AppleCard,GAS STATION,Transport,Gas,52.0,
02/23/2026,Sam AppleCard,TRADER JOE'S,Food,Groceries,80.56,
02/23/2026,Sam ChaseCard,STARBUCKS,Food,Restaurants,5.46,
02/24/2026,Alex AppleCard,TARGET,Shopping,Home Goods,89.32,
02/24/2026,Sam AppleCard,CVS PHARMACY,Health,Pharmacy,44.71,
02/24/2026,Sam AppleCard,AMAZON,Shopping,Home Goods,78.04,
02/24/2026,Sam Checking,AMAZON,Shopping,Home Goods,28.13,
02/25/2026,Sam ChaseCard,CHIPOTLE,Food,Restaurants,28.02,
02/28/2026,Alex ChaseCard,WHOLE FOODS,Food,Groceries,134.23,
02/28/2026,Alex ChaseCard,CVS PHARMACY,Health,Pharmacy,32.22,
02/28/2026,Sam ChaseCard,SAFEWAY,Food,Groceries,76.53,
03/01/2025,Alex AppleCard,NETFLIX,Subscriptions,Streaming,18.0,
03/01/2025,Alex ChaseCard,SPOTIFY FAMILY,Subscriptions,Streaming,17.0,
03/01/2025,Alex Checking,WHOLE FOODS,Food,Groceries,170.39,
03/02/2025,Sam ChaseCard,CHEWY,Pets,Food,72.73,
03/02/2026,Alex AppleCard,TRADER JOE'S,Food,Groceries,99.4,
03/02/2026,Alex ChaseCard,INTERNET,Housing,Utilities,73.56,
03/02/2026,Alex Checking,CITY WATER,Housing,Utilities,69.1,
03/03/2025,Alex AppleCard,ELECTRIC COMPANY,Housing,Utilities,188.45,
03/03/2025,Sam AppleCard,TRADER JOE'S,Food,Groceries,71.32,
03/03/2025,Sam AppleCard,MUSIC LESSONS,Kids,Activities,176.42,
03/03/2025,Sam Checking,GAP,Shopping,Clothing,162.57,
03/03/2026,Alex AppleCard,YMCA FAMILY,Health,Fitness,92.0,
03/03/2026,Sam AppleCard,AMAZON,Shopping,Home Goods,76.89,
03/03/2026,Sam ChaseCard,PEDIATRICIAN COPAY,Health,Medical,42.0,
03/04/2025,Alex Checking,ICLOUD STORAGE,Subscriptions,Software,3.0,
03/04/2025,Sam AppleCard,AFTER SCHOOL CARE,Kids,After School,433.31,
03/04/2026,Alex AppleCard,NATURAL GAS,Housing,Utilities,74.37,
03/04/2026,Alex AppleCard,LOCAL NEWSPAPER,Subscriptions,News,15.0,
03/04/2026,Sam AppleCard,CHIPOTLE,Food,Restaurants,23.48,
03/04/2026,Sam AppleCard,AIRBNB,Travel,Hotels,522.75,
03/05/2025,Alex ChaseCard,LOCAL NEWSPAPER,Subscriptions,News,15.0,
03/05/2025,Alex Checking,INTERNET,Housing,Utilities,76.26,
03/05/2025,Sam ChaseCard,CHIPOTLE,Food,Restaurants,23.74,
03/05/2025,Sam ChaseCard,DISNEY+,Subscriptions,Streaming,14.0,
03/05/2026,Alex AppleCard,ROCKET MORTGAGE,Housing,Mortgage,2200.0,
03/05/2026,Alex ChaseCard,SAFEWAY,Food,Groceries,43.13,
03/05/2026,Sam ChaseCard,TARGET,Shopping,Home Goods,101.83,
03/06/2025,Alex AppleCard,ROCKET MORTGAGE,Housing,Mortgage,2200.0,
03/06/2025,Alex Checking,CITY WATER,Housing,Utilities,70.97,
03/06/2025,Alex Checking,NATURAL GAS,Housing,Utilities,56.62,
03/06/2025,Alex Checking,YMCA FAMILY,Health,Fitness,92.0,
03/06/2025,Sam Checking,AMAZON,Shopping,Home Goods,43.24,
03/06/2026,Alex AppleCard,NETFLIX,Subscriptions,Streaming,18.0,
03/06/2026,Sam AppleCard,AFTER SCHOOL CARE,Kids,After School,404.78,
03/06/2026,Sam AppleCard,MUSIC LESSONS,Kids,Activities,177.21,
03/07/2025,Sam ChaseCard,SAFEWAY,Food,Groceries,42.43,
03/07/2026,Alex AppleCard,AMAZON,Shopping,Home Goods,71.31,
03/07/2026,Alex ChaseCard,SPOTIFY FAMILY,Subscriptions,Streaming,17.0,
03/07/2026,Alex ChaseCard,ICLOUD STORAGE,Subscriptions,Software,3.0,
03/07/2026,Alex Checking,ELECTRIC COMPANY,Housing,Utilities,162.28,
03/07/2026,Sam Checking,WHOLE FOODS,Food,Groceries,124.37,
03/08/2025,Alex ChaseCard,SAFEWAY,Food,Groceries,39.46,
03/08/2025,Sam AppleCard,WHOLE FOODS,Food,Groceries,177.09,
03/08/2025,Sam Checking,STARBUCKS,Food,Restaurants,4.64,
03/08/2026,Sam ChaseCard,PEDIATRICIAN COPAY,Health,Medical,46.03,
03/08/2026,Sam Checking,DISNEY+,Subscriptions,Streaming,14.0,
03/08/2026,Sam Checking,CHEWY,Pets,Food,71.83,
03/09/2025,Sam AppleCard,GAS STATION,Transport,Gas,39.74,
03/09/2025,Sam Checking,GAS STATION,Transport,Gas,66.9,
03/09/2026,Alex Checking,TRADER JOE'S,Food,Groceries,50.1,
03/09/2026,Sam AppleCard,AMAZON GIFTS,Gifts,Family,69.53,
03/10/2025,Sam ChaseCard,TRADER JOE'S,Food,Groceries,71.94,
03/10/2025,Sam ChaseCard,YOUTH SOCCER,Kids,Activities,132.04,
03/10/2026,Sam AppleCard,HOME DEPOT,Housing,Maintenance,82.79,
03/10/2026,Sam ChaseCard,SAFEWAY,Food,Groceries,79.44,
03/11/2025,Sam AppleCard,STARBUCKS,Food,Restaurants,7.08,
03/11/2026,Alex ChaseCard,CHIPOTLE,Food,Restaurants,20.29,
03/12/2025,Sam AppleCard,CHIPOTLE,Food,Restaurants,29.59,
03/13/2025,Sam ChaseCard,AMAZON GIFTS,Gifts,Family,44.66,
03/14/2025,Alex ChaseCard,CVS PHARMACY,Health,Pharmacy,32.45,
03/14/2025,Sam Checking,UBER,Transport,Rideshare,15.61,
03/14/2026,Alex Checking,WHOLE FOODS,Food,Groceries,173.6,
03/14/2026,Sam AppleCard,STARBUCKS,Food,Restaurants,6.2,
03/15/2025,Alex Checking,WHOLE FOODS,Food,Groceries,147.94,
03/15/2026,Alex ChaseCard,STARBUCKS,Food,Restaurants,4.27,
03/15/2026,Sam AppleCard,ETSY,Gifts,Family,45.86,
03/16/2025,Alex ChaseCard,STARBUCKS,Food,Restaurants,7.25,
03/16/2025,Alex Checking,STARBUCKS,Food,Restaurants,6.11,
03/16/2026,Sam ChaseCard,OLD NAVY,Kids,Clothing,65.34,
03/16/2026,Sam Checking,TRADER JOE'S,Food,Groceries,84.31,
03/17/2025,Alex ChaseCard,GAS STATION,Transport,Gas,36.89,
03/17/2025,Alex Checking,TRADER JOE'S,Food,Groceries,73.59,
03/18/2025,Sam Checking,STARBUCKS,Food,Restaurants,4.67,
03/18/2026,Alex AppleCard,CHIPOTLE,Food,Restaurants,21.31,
03/19/2025,Sam ChaseCard,CHIPOTLE,Food,Restaurants,19.37,
03/19/2025,Sam Checking,SUSHI HOUSE,Food,Restaurants,47.46,
03/20/2025,Alex ChaseCard,DOORDASH,Food,Delivery,46.61,
03/20/2025,Alex ChaseCard,AMAZON,Shopping,Home Goods,75.85,
03/20/2025,Alex Checking,HOTEL CHAIN,Travel,Hotels,194.86,
03/20/2025,Sam ChaseCard,STARBUCKS,Food,Restaurants,4.62,
03/21/2026,Sam Checking,WHOLE FOODS,Food,Groceries,132.31,
03/22/2025,Alex ChaseCard,WHOLE FOODS,Food,Groceries,153.22,
03/22/2025,Sam ChaseCard,OLD NAVY,Kids,Clothing,75.92,
03/22/2026,Alex AppleCard,TARGET,Shopping,Home Goods,72.28,
03/22/2026,Alex Checking,STARBUCKS,Food,Restaurants,4.55,
03/22/2026,Alex Checking,STARBUCKS,Food,Restaurants,4.49,
03/23/2025,Sam ChaseCard,AIRBNB,Travel,Hotels,338.75,
03/23/2025,Sam ChaseCard,UBER,Transport,Rideshare,32.25,
03/23/2025,Sam Checking,ETSY,Gifts,Family,24.21,
03/23/2026,Sam ChaseCard,TRADER JOE'S,Food,Groceries,98.18,
03/23/2026,Sam ChaseCard,GAP,Shopping,Clothing,90.33,
03/24/2025,Alex ChaseCard,STARBUCKS,Food,Restaurants,7.74,
03/24/2025,Alex Checking,TRADER JOE'S,Food,Groceries,53.2,
03/24/2026,Sam ChaseCard,SUSHI HOUSE,Food,Restaurants,85.73,
03/24/2026,Sam Checking,YOUTH SOCCER,Kids,Activities,139.14,
03/25/2026,Alex AppleCard,DOORDASH,Food,Delivery,50.8,
03/25/2026,Alex ChaseCard,TARGET,Shopping,Home Goods,51.04,
03/25/2026,Sam AppleCard,SAFEWAY,Food,Groceries,78.5,
03/25/2026,Sam ChaseCard,CHIPOTLE,Food,Restaurants,29.21,
03/25/2026,Sam Checking,DOORDASH,Food,Delivery,49.85,
03/26/2025,Alex ChaseCard,CHIPOTLE,Food,Restaurants,23.9,
03/27/2025,Alex Checking,STARBUCKS,Food,Restaurants,5.72,
03/27/2025,Sam AppleCard,DOORDASH,Food,Delivery,29.04,
03/28/2025,Sam Checking,SAFEWAY,Food,Groceries,84.03,
03/28/2026,Alex Checking,HOTEL CHAIN,Travel,Hotels,163.18,
03/28/2026,Sam Checking,WHOLE FOODS,Food,Groceries,122.84,
03/29/2025,Alex AppleCard,STARBUCKS,Food,Restaurants,5.29,
03/29/2025,Sam ChaseCard,WHOLE FOODS,Food,Groceries,115.16,
03/29/2026,Alex Checking,AMAZON,Shopping,Home Goods,81.85,
03/30/2026,Alex AppleCard,TRADER JOE'S,Food,Groceries,79.84,
03/31/2025,Sam AppleCard,TRADER JOE'S,Food,Groceries,91.72,
04/01/2025,Alex Checking,ICLOUD STORAGE,Subscriptions,Software,3.0,
04/01/2025,Alex Checking,TARGET,Shopping,Home Goods,84.87,
04/01/2025,Sam AppleCard,HOME DEPOT,Housing,Maintenance,66.02,
04/01/2025,Sam AppleCard,MUSIC LESSONS,Kids,Activities,178.56,
04/01/2026,Alex Checking,SPOTIFY FAMILY,Subscriptions,Streaming,17.0,
04/01/2026,Sam AppleCard,CHIPOTLE,Food,Restaurants,21.39,
04/01/2026,Sam Checking,CHEWY,Pets,Food,72.74,
04/02/2025,Alex AppleCard,NATURAL GAS,Housing,Utilities,66.87,
04/02/2025,Alex AppleCard,CHIPOTLE,Food,Restaurants,19.79,
04/02/2025,Alex AppleCard,AMAZON,Shopping,Home Goods,82.33,
04/02/2025,Alex ChaseCard,ELECTRIC COMPANY,Housing,Utilities,150.35,
04/02/2025,Sam Checking,STARBUCKS,Food,Restaurants,5.29,
04/02/2026,Alex AppleCard,NATURAL GAS,Housing,Utilities,60.02,
04/02/2026,Alex ChaseCard,ROCKET MORTGAGE,Housing,Mortgage,2200.0,
04/02/2026,Sam ChaseCard,SUMMER DAY CAMP,Kids,Camps,589.81,
04/02/2026,Sam ChaseCard,TARGET,Shopping,Home Goods,69.57,
04/02/2026,Sam Checking,MUSIC LESSONS,Kids,Activities,184.23,
04/03/2025,Sam ChaseCard,AFTER SCHOOL CARE,Kids,After School,401.19,
04/03/2026,Alex Checking,SWIM CLASS,Kids,Activities,158.87,
04/04/2025,Alex ChaseCard,LOCAL NEWSPAPER,Subscriptions,News,15.0,
04/04/2026,Alex AppleCard,CITY WATER,Housing,Utilities,70.18,
04/04/2026,Alex AppleCard,WHOLE FOODS,Food,Groceries,133.32,
04/04/2026,Alex Checking,INTERNET,Housing,Utilities,74.16,
04/04/2026,Alex Checking,OLD NAVY,Kids,Clothing,64.92,
04/04/2026,Alex Checking,LOCAL NEWSPAPER,Subscriptions,News,15.0,
04/05/2025,Alex AppleCard,ROCKET MORTGAGE,Housing,Mortgage,2200.0,
04/05/2025,Alex Checking,STARBUCKS,Food,Restaurants,6.48,
04/05/2025,Alex Checking,NETFLIX,Subscriptions,Streaming,18.0,
04/05/2025,Sam AppleCard,WHOLE FOODS,Food,Groceries,120.31,
04/05/2026,Alex AppleCard,ELECTRIC COMPANY,Housing,Utilities,148.28,
04/05/2026,Alex ChaseCard,NETFLIX,Subscriptions,Streaming,18.0,
04/05/2026,Sam ChaseCard,AFTER SCHOOL CARE,Kids,After School,428.24,
04/06/2025,Alex ChaseCard,INTERNET,Housing,Utilities,73.56,
04/06/2025,Sam ChaseCard,CHEWY,Pets,Food,75.79,
04/06/2026,Alex AppleCard,TRADER JOE'S,Food,Groceries,85.35,
04/06/2026,Alex ChaseCard,VACATION ACTIVITIES,Travel,Activities,57.05,
04/06/2026,Alex ChaseCard,VACATION ACTIVITIES,Travel,Activities,102.27,
04/06/2026,Alex Checking,YMCA FAMILY,Health,Fitness,92.0,
04/07/2025,Alex AppleCard,SPOTIFY FAMILY,Subscriptions,Streaming,17.0,
04/07/2025,Alex ChaseCard,CITY WATER,Housing,Utilities,67.96,
04/07/2025,Alex ChaseCard,YMCA FAMILY,Health,Fitness,92.0,
04/07/2025,Alex ChaseCard,AMAZON,Shopping,Home Goods,42.3,
04/07/2025,Alex Checking,TRADER JOE'S,Food,Groceries,65.05,
04/07/2025,Sam AppleCard,CVS PHARMACY,Health,Pharmacy,42.21,
04/08/2025,Alex ChaseCard,LOCAL BISTRO,Food,Restaurants,104.14,
04/08/2025,Sam Checking,DISNEY+,Subscriptions,Streaming,14.0,
04/08/2025,Sam Checking,GAS STATION,Transport,Gas,53.98,
04/08/2025,Sam Checking,GAS STATION,Transport,Gas,60.39,
04/08/2026,Alex Checking,ICLOUD STORAGE,Subscriptions,Software,3.0,
04/08/2026,Sam AppleCard,DOMESTIC AIRLINE,Travel,Flights,341.57,
04/08/2026,Sam AppleCard,DISNEY+,Subscriptions,Streaming,14.0,
04/08/2026,Sam Checking,CHIPOTLE,Food,Restaurants,24.96,
04/09/2025,Alex Checking,DOORDASH,Food,Delivery,38.29,
04/09/2025,Alex Checking,CVS PHARMACY,Health,Pharmacy,28.59,
04/09/2025,Sam AppleCard,CHIPOTLE,Food,Restaurants,29.93,
04/09/2025,Sam AppleCard,GAS STATION,Transport,Gas,54.0,
04/09/2025,Sam Checking,STARBUCKS,Food,Restaurants,5.75,
04/09/2026,Sam Checking,AMAZON,Shopping,Home Goods,62.88,
04/10/2025,Sam Checking,SUSHI HOUSE,Food,Restaurants,85.65,
04/10/2025,Sam Checking,OLD NAVY,Kids,Clothing,104.71,
04/10/2026,Alex AppleCard,DENTIST,Health,Medical,154.38,
04/10/2026,Alex ChaseCard,DOORDASH,Food,Delivery,49.32,
04/10/2026,Alex Checking,LOCAL BISTRO,Food,Restaurants,117.7,
04/10/2026,Sam AppleCard,SUSHI HOUSE,Food,Restaurants,52.29,
04/10/2026,Sam AppleCard,DOORDASH,Food,Delivery,40.95,
04/11/2026,Sam Checking,WHOLE FOODS,Food,Groceries,160.84,
04/12/2025,Alex Checking,WHOLE FOODS,Food,Groceries,152.22,
04/12/2026,Sam AppleCard,SUSHI HOUSE,Food,Restaurants,58.16,
04/12/2026,Sam Checking,UBER,Transport,Rideshare,21.98,
04/13/2025,Alex ChaseCard,STARBUCKS,Food,Restaurants,4.55,
04/13/2025,Sam Checking,DOORDASH,Food,Delivery,30.68,
04/13/2026,Sam AppleCard,OLD NAVY,Kids,Clothing,88.62,
04/13/2026,Sam ChaseCard,SAFEWAY,Food,Groceries,51.07,
04/13/2026,Sam Checking,TRADER JOE'S,Food,Groceries,80.27,
04/13/2026,Sam Checking,UBER,Transport,Rideshare,12.52,
04/14/2025,Alex AppleCard,TRADER JOE'S,Food,Groceries,50.03,
04/14/2025,Alex ChaseCard,CVS PHARMACY,Health,Pharmacy,29.39,
04/14/2026,Sam AppleCard,ETSY,Gifts,Family,68.22,
04/15/2025,Alex Checking,AMAZON,Shopping,Home Goods,66.89,
04/15/2025,Sam AppleCard,STARBUCKS,Food,Restaurants,5.08,
04/15/2026,Sam AppleCard,CHIPOTLE,Food,Restaurants,23.36,
04/16/2025,Alex Checking,CHIPOTLE,Food,Restaurants,27.17,
04/16/2026,Sam ChaseCard,STARBUCKS,Food,Restaurants,6.64,
04/17/2025,Alex AppleCard,HOME DEPOT,Housing,Maintenance,108.77,
04/17/2025,Alex AppleCard,TARGET,Shopping,Home Goods,55.33,
04/17/2025,Sam AppleCard,SAFEWAY,Food,Groceries,57.26,
04/18/2025,Alex AppleCard,GAS STATION,Transport,Gas,43.0,
04/18/2026,Alex Checking,WHOLE FOODS,Food,Groceries,145.8,
04/18/2026,Sam Checking,STARBUCKS,Food,Restaurants,7.71,
04/19/2025,Alex AppleCard,GAS STATION,Transport,Gas,42.39,
04/19/2025,Sam ChaseCard,WHOLE FOODS,Food,Groceries,176.04,
04/19/2025,Sam ChaseCard,AMAZON GIFTS,Gifts,Family,107.64,
04/19/2026,Alex AppleCard,HOTEL CHAIN,Travel,Hotels,254.06,
04/20/2025,Sam Checking,SUSHI HOUSE,Food,Restaurants,77.71,
04/20/2026,Alex AppleCard,SWIM CLASS,Kids,Activities,146.02,
04/20/2026,Alex Checking,TRADER JOE'S,Food,Groceries,89.84,
04/20/2026,Sam Checking,DOORDASH,Food,Delivery,20.45,
04/21/2025,Alex ChaseCard,TRADER JOE'S,Food,Groceries,80.84,
04/21/2025,Alex ChaseCard,AMAZON,Shopping,Home Goods,58.1,
04/21/2025,Sam ChaseCard,SUSHI HOUSE,Food,Restaurants,52.12,
04/21/2025,Sam Checking,GAP,Shopping,Clothing,139.78,
04/22/2025,Alex AppleCard,GAS STATION,Transport,Gas,42.25,
04/22/2025,Sam AppleCard,PEDIATRICIAN COPAY,Health,Medical,43.45,
04/22/2026,Sam ChaseCard,CHIPOTLE,Food,Restaurants,21.99,
04/22/2026,Sam ChaseCard,OLD NAVY,Kids,Clothing,47.2,
04/23/2025,Alex Checking,CHIPOTLE,Food,Restaurants,22.56,
04/24/2026,Alex AppleCard,DOORDASH,Food,Delivery,21.1,
04/24/2026,Alex Checking,STARBUCKS,Food,Restaurants,7.54,
04/25/2026,Sam Checking,WHOLE FOODS,Food,Groceries,168.03,
04/26/2025,Alex AppleCard,WHOLE FOODS,Food,Groceries,136.5,
04/27/2025,Alex Checking,AMAZON,Shopping,Home Goods,77.14,
04/27/2026,Sam ChaseCard,STARBUCKS,Food,Restaurants,6.89,
04/27/2026,Sam Checking,TRADER JOE'S,Food,Groceries,71.24,
04/28/2025,Alex ChaseCard,TRADER JOE'S,Food,Groceries,70.51,
04/28/2025,Alex ChaseCard,STARBUCKS,Food,Restaurants,5.81,
04/28/2025,Sam ChaseCard,STARBUCKS,Food,Restaurants,4.6,
04/29/2026,Alex Checking,COUNTY TAX COLLECTOR,Housing,Property Tax,2529.63,
04/29/2026,Alex Checking,STARBUCKS,Food,Restaurants,4.98,
04/29/2026,Alex Checking,DOORDASH,Food,Delivery,40.97,
04/29/2026,Sam AppleCard,STARBUCKS,Food,Restaurants,4.85,
04/29/2026,Sam ChaseCard,CHIPOTLE,Food,Restaurants,29.19,
04/30/2025,Alex Checking,AMAZON,Shopping,Home Goods,45.33,
04/30/2025,Sam ChaseCard,CHIPOTLE,Food,Restaurants,28.32,
04/30/2026,Alex ChaseCard,SAFEWAY,Food,Groceries,80.93,
04/30/2026,Alex Checking,HOTEL CHAIN,Travel,Hotels,261.75,
05/01/2025,Alex ChaseCard,STARBUCKS,Food,Restaurants,6.89,
05/02/2025,Alex AppleCard,CVS PHARMACY,Health,Pharmacy,25.26,
05/02/2025,Alex AppleCard,YMCA FAMILY,Health,Fitness,92.0,
05/02/2025,Alex Checking,ROCKET MORTGAGE,Housing,Mortgage,2200.0,
05/02/2025,Alex Checking,NATURAL GAS,Housing,Utilities,46.35,
05/02/2025,Sam AppleCard,DISNEY+,Subscriptions,Streaming,14.0,
05/03/2025,Alex AppleCard,WHOLE FOODS,Food,Groceries,143.16,
05/03/2025,Alex ChaseCard,SPOTIFY FAMILY,Subscriptions,Streaming,17.0,
